Company,cik,form,filed,ddate,Year,Quarter,Revenue,Gross_Profit,Operating_Income,Net_Income,Operating_Cash_Flow,Equity,Profit_Margin,Gross_Margin,Operating_Margin,ROE,Cash_Flow_Margin,Sector
Apple,320193,10-Q,2022-07-29,2021-06-30,2021,2,282457000000.0,35255000000.0,85163000000.0,74129000000.0,83838000000.0,64280000000.0,26.244348697323836,12.481545863618178,30.150784013141823,115.32202862476663,29.681686061949254,Technology
Apple,320193,10-Q,2023-08-04,2021-09-30,2021,3,,,,,,63090000000.0,,,,,,Technology
Apple,320193,10-Q,2023-05-05,2021-12-31,2021,4,,,,,,71932000000.0,,,,,,Technology
Apple,320193,10-Q,2023-08-04,2022-03-31,2022,1,,,,,,67399000000.0,,,,,,Technology
Apple,320193,10-Q,2023-08-04,2022-06-30,2022,2,82959000000.0,132687000000.0,23076000000.0,19442000000.0,98024000000.0,58107000000.0,23.43567304331055,159.94286334213285,27.81615014645789,33.45896363605073,118.15957280102218,Technology
Apple,320193,10-Q,2024-08-02,2022-09-30,2022,3,,,,,,50672000000.0,,,,,,Technology
Apple,320193,10-Q,2024-05-03,2022-12-31,2022,4,,,,,,56727000000.0,,,,,,Technology
Apple,320193,10-Q,2024-08-02,2023-03-31,2023,1,,,,,,62158000000.0,,,,,,Technology
Apple,320193,10-Q,2024-08-02,2023-06-30,2023,2,81797000000.0,128721000000.0,22998000000.0,19881000000.0,88945000000.0,60274000000.0,24.305292370135824,157.3664070809443,28.115945572576013,32.984371370740284,108.73870679853785,Technology
Apple,320193,10-Q,2025-08-01,2023-09-30,2023,3,,,,,,62146000000.0,,,,,,Technology
Apple,320193,10-Q,2025-05-02,2023-12-31,2023,4,,,,,,74100000000.0,,,,,,Technology
Apple,320193,10-Q,2025-08-01,2024-03-31,2024,1,,,,,,74194000000.0,,,,,,Technology
Apple,320193,10-Q,2025-08-01,2024-06-30,2024,2,296105000000.0,136804000000.0,25352000000.0,21448000000.0,91443000000.0,66708000000.0,7.243376504956012,46.20117863595684,8.5618277300282,32.15206571925406,30.88195065939447,Technology
Apple,320193,10-Q,2025-08-01,2024-09-30,2024,3,,,,,,56950000000.0,,,,,,Technology
Apple,320193,10-Q,2025-05-02,2024-12-31,2024,4,,,,,,66758000000.0,,,,,,Technology
Apple,320193,10-Q,2025-08-01,2025-03-31,2025,1,,,,,,66796000000.0,,,,,,Technology
Apple,320193,10-Q,2025-08-01,2025-06-30,2025,2,313695000000.0,146860000000.0,100623000000.0,84544000000.0,81754000000.0,65830000000.0,26.951019302188435,46.816174947002665,32.07669870415531,128.42776849460734,26.061620363729098,Technology
JPMorgan Chase,19617,10-Q,2021-05-04,2020-03-31,2020,1,28286000000.0,,,2865000000.0,-120089000000.0,261262000000.0,10.128685568832637,,,1.0966003475438448,-424.55278229512834,Banking
